Name,Air Date,Description,Rating,Votes
S1.E108 ∙ Mienai kiretsu,"Wed, Nov 10, 2004","As their rivalry reaches a fever pitch, Kakashi-sensei breaks up the battle and sends Naruto and Sasuke to their corners. Meanwhile, Four Sound ninja enter the Hidden Leaf Village with only one thing on their mind - Sasuke.",7.9,(842)
S1.E109 ∙ Oto no sasoi,"Wed, Nov 17, 2004","Sasuke takes on all four Sound Ninja, but soon learns it's going to take more than Chidori to defeat them.",8.1,(867)
S1.E110 ∙ Kessei! Teppeki no fômêshon,"Wed, Nov 24, 2004","Now that word of Sasuke's departure has spread to the Fifth Hokage, she calls upon the newest Chunin, Shikamaru, to put together a squad to bring Sasuke back to the village.",8.0,(846)
S1.E111 ∙ Sesshoku Otoyoninshuu no jitsuryoku,"Wed, Nov 24, 2004",The Sound Ninja have Sasuke in their clutches and it's up to the Hidden Leaf Village's top Shinobi to stop them.,7.7,(810)
S1.E112 ∙ Ikinari nakamaware? Shikamaru shoutai pinchi,"Wed, Dec 1, 2004","As Shikamaru and the rest of the squad move in, Jirobo, one of the Sound Ninja, traps them within an Earth Dome Prison and sucks up their chakra.",7.8,(799)
S1.E113 ∙ Pawâ zenkai! Moero chouji,"Wed, Dec 8, 2004","Upon breaking free from the Earth Dome Prison, The Sasuke Retrieval Squad realize they don't have enough chakra to take on Jirobo - but Choji's got another idea up his sleeve.",7.7,(809)
S1.E114 ∙ Saraba tomo yo...! Sore demo ore wa shinjiteru,"Wed, Dec 15, 2004","With his life on the line against the Sound Ninja Jirobo, Choji looks back on the seeds of his friendship with Shikamaru. Can he defeat his fearsome opponent without any Chakra?",8.7,(1.1K)
S1.E115 ∙ Omae no aite wa kono ore da!,"Wed, Dec 22, 2004","Hot on Sasuke's trail, Shikamaru and his squad get caught up in a web of unparalleled chakra when they tangle with the six-armed Kidomaru.",7.8,(814)
S1.E116 ∙ Shikai 360 do Byakugan no shikaku,"Wed, Jan 5, 2005",Neji takes on Kidômaru while the others continue their pursuit of Sasuke and the remaining Sound ninja.,8.0,(832)
S1.E117 ∙ Makerarenai riyuu,"Wed, Jan 5, 2005",Neji's on the run from Kidomaru's bow and arrow attacks. Will Neji make it out alive or will his new-found enemy hit his blind-spot dead on?,8.8,(1.2K)
S1.E118 ∙ Dakkan: Ma ni awanakatta utsuwa,"Wed, Jan 12, 2005","In pursuit of the Sound Ninja, Naruto, Kiba and Shikamaru strike at dawn to retrieve Sasuke and bring him back to the Hidden Leaf Village.",7.6,(785)
S1.E119 ∙ Shissaku! Aratanaru teki,"Wed, Jan 19, 2005","Naruto, Kiba and Shikamaru intercept Sasuke from the Sound Ninja Four, but little do they know that another ninja from the Sound Village has been dispatched to grab Sasuke as well.",7.6,(783)
S1.E120 ∙ Unare! Hoero! Kyuukyoku no taggu,"Wed, Feb 2, 2005","Faced against the vicious twin duo of Sakon and Ukon, Kiba and Akamaru team up to take them out, using their most powerful jutsu.",7.6,(788)
S1.E121 ∙ Sorezore no tatakai,"Wed, Feb 9, 2005","With the Sasuke retrieval squad now split into individual battles, it's up to Naruto, Kiba and Shikamaru to stop the sound ninja. But little do they realize that there's more to their opponents than their basic techniques.",7.6,(781)
S1.E122 ∙ Feiku! Otoko Shikamaru Kishi kaisei no kake,"Wed, Feb 16, 2005",Shikamaru's got his hands full with Tayuya and her melodic attacks. Can he stop her and put an end to her malevolent flute playing?,7.9,(816)
S1.E123 ∙ Konoha no aoki yajuu kenzan!,"Wed, Feb 23, 2005","Naruto's Shadow Clones are no match for Kimimaro's attacks. But when an old bushy-brow-ed buddy from the Leaf Village shows up, all bets are off.",8.0,(835)
S1.E124 ∙ Yajuu sakuretsu! Hajikero futtobe tsukinukero!,"Wed, Mar 2, 2005",Rock Lee's back and he's full of a special medicine that has Kimimaro on the run. Can he take out the fifth Sound Ninja?,8.8,(1.1K)
S1.E125 ∙ Konoha doumeikoku Suna no shinobi,"Wed, Mar 9, 2005","Down for the count and at the mercy of the Sound Ninja, Kiba, Shikamaru and Rock Lee get help from an unlikely bunch of new allies.",8.4,(917)
S1.E126 ∙ Saikyou taiketsu! Gaara vs Kimimaro!!,"Wed, Mar 16, 2005","Itching to fight and with a sense of guilt from the past, Gaara tells Rock Lee to stand down and let him take on Kimimaro. Meanwhile, Naruto continues on his quest to catch the runaway Sasuke.",8.3,(855)
S1.E127 ∙ Shuunen no ichigeki! Sawarabi no mai,"Wed, Mar 30, 2005","As Gaara demonstrates he has more than enough backbone to take on Kimimaro, Orochimaru recollects on how he brought him as a young man into the Sound Village.",8.2,(846)
S1.E128 ∙ Todokanai sakebi,"Wed, Mar 30, 2005","Finally catching up to Sasuke, Naruto does all he can to keep him from going to Orochimaru. Does he have enough strength to stop him or is Sasuke gone for good?",8.0,(835)
S1.E129 ∙ Itachi to Sasuke Toosugiru sonzai,"Wed, Apr 6, 2005",Naruto and Sasuke face off in battle as we get a glimpse into Sasuke's past where his achievements were ignored by his father and his brother Itachi's behavior began to take a turn for the worst.,8.1,(855)
S1.E130 ∙ Chichi to ko Hibiwareta kamon,"Wed, Apr 13, 2005","As Sasuke squares off against Naruto, he reflects on his past when he was neglected by both his stern father and Itachi, his brooding older brother.",7.8,(817)
S1.E131 ∙ Kaigen Mangekyou sharingan no himitsu,"Wed, Apr 13, 2005","While Naruto is busy underwater, Sasuke remembers the fateful day in which his clan was killed. He remembers why Itachi spared his life, and why Itachi did what what he did. Now, in order to gain the same power as his brother, he must kill his closest friend...Naruto.",8.0,(868)
S1.E132 ∙ Tomoyo!,"Wed, Apr 27, 2005","Kakashi learns the truth about the chase after Sasuke, and orders his dogs, including Pakkun, to go find Naruto and Sasuke. However, things are looking grim as the clash between the Chindori and the Rasengan ensues. The attacks are even, causing Naruto and Sasuke to both fly back. Naruto finally realizes how serious Sasuke is, and gets the snot beat out of him while he remembers how he always wanted to be friends with Sasuke.",8.9,(1.3K)
S1.E133 ∙ Namida no houkou! Omae wa ore no tomodachi da,"Wed, May 4, 2005","Naruto proves to be too much for Sasuke to handle as Naruto fights back with renewed vigor. Finally acknowledging Naruto's strength, Sasuke puts on his forehead protector, symbolizing both as equals. But when Sasuke's Sharingan is upgraded to level 3, the tables turn on Naruto. Just when all hope seems lost for Naruto, he undergoes a startling transformation, but will it be enough?",9.4,(2.3K)
S1.E134 ∙ Namidaame no ketsumatsu,"Wed, May 11, 2005","The battle between Naruto and Sasuke comes to a close, as One-Tailed Naruto takes on Cursed Seal Level 2 Sasuke in one final Rasengan vs. Chidori clash. And this time...only one person will emerge victorious. Will Kakashi and Pakkun make it in time? And who is this mysterious ninja watching everything?",9.1,(1.4K)
S1.E135 ∙ Mamorenakatta yakusoku,"Wed, May 18, 2005","Shikamaru's group is brought back to Konoha with many injuries. Neji and Chouji could possibly die, Kiba has a deep wound but nothing too serious, and Naruto and Shimakamru have a few injuries. When Sakura finds out they are back ,she goes immediately to see Sasuke and Naruto but finds out Sasuke got away. Can Naruto keep his promise to Sakura? And what news does the Jiraiya have for Naruto?",8.1,(840)
S1.E136 ∙ Deep Cover?! A Super S-Ranked Mission,"Wed, May 25, 2005","Jiraiya begins to worry about Naruto and Sakura's well-being. He then requests that Tsunade send them on a mission with him. He finds Naruto telling Sakura he is not going to stop her from going after Sasuke, but he is going with her, and tells them about the mission. They head off to Rice Country to find the Hidden Sound Village, and hopefully Sasuke as well.",6.5,(545)
S1.E137 ∙ Bugaisha no machi Fuuma ichizoku no kage,"Wed, Jun 1, 2005","Naruto, Sakura and Jiraiya end up in a town that is even worse than the one they were chased out of. Jiraiya heads off and leaves Naruto and Sakura to get some food. Along the way they find the ninja that attacked them before, but things are not as clear-cut as they might seem.",6.6,(522)
S1.E138 ∙ Kiyoki uragiri Hakanaki negai,"Wed, Jun 8, 2005","When Sasame drugs the gang, she prepares to hand them over to Orochimaru. But, when she discovers that they are to be killed, she has a change of heart.",6.6,(516)
S1.E139 ∙ Kyoufu! Orochimaru no yakata,"Wed, Jun 15, 2005","Sasame leads Naruto, Jiraiya, and Sakura to Orochimaru's hideout. They send Sasame back to the village because of the danger level. Jiraiya summons Gamakichi to go in first and investigate. The four come to three tunnels. Jiraiya goes off to the right, Naruto and Sakura down the middle and Gamakichi down the left. Will the four of them make it past the traps?",7.0,(523)
S1.E140 ∙ Futatsu no kodou Kabuto no wana,"Wed, Jun 22, 2005","Naruto arrives in the nick of time to save Sakura, but not before Kabuto tells her that Sasuke is dead. Naruto attacks but ends up tangled in a deadly trap of Kabuto's. Is it all over for our hero and will they find Arashi?",6.9,(522)
S1.E141 ∙ Sakura no ketsui,"Wed, Jun 29, 2005","The battle between Naruto and Arashi continues, but Naruto's injury is making it difficult for him to succeed. Sasame jumps in to try to save Naruto but will it be enough?",6.9,(572)
S1.E142 ∙ The Three Villains from the Maximum Security Prison,"Sat, Feb 23, 2008","With the events of the Rice Field Country behind them, everyone prepares for their training. But a new threat soon arises. Remember Mizuki? He's back and he's planning to break out of Konoha's Correctional Facility, along with two stupid, fat brothers..",6.3,(541)
S1.E143 ∙ Hashire Tonton! Omae no hana ga tayori dattebayo,"Wed, Jul 13, 2005","Shizune pursues Mizuki who has escaped from the Maximum Security Prison, but is overcome by him and the brothers Raijin and Fujin. - This Episode is part of Season 3, Volume 3",6.3,(491)
S1.E144 ∙ Shinsei sanningumi Futari to ippiki!,"Wed, Jul 20, 2005","Naruto is having trouble with the two brothers and Iruka is having his share of difficulties with Mizuki. Iruka struggles to try and get the old Mizuki back but he doesn't have much success. - Meanwhile, when things are looking bleak for Naruto, can 3 friendly Ninja save the day?",6.1,(497)
S1.E145 ∙ Sakuretsu! Nyû fômêshon inoshikachou,"Wed, Jul 27, 2005","Naruto's backup has arrived and they are Shikamaru, Ino, and Chouji. They tell Naruto that they will take care of the brothers. Naruto leaves to catch up to Iruka, who is fighting Mizuki. Can Naruto arrive before Mizuki kills Iruka? And can Shikamaru, Ino, and Chouji hold off the brothers?",6.3,(491)
S1.E146 ∙ Nokosareta yabou Orochimaru no kage,"Wed, Aug 10, 2005","Naruto and his squad start their first ninja missions with boring and menial tasks. Weary and angry, Naruto vents his frustration at the Hokage. - This Episode is part of Season 1, Volume 1",6.3,(484)
S1.E147 ∙ Innen no taiketsu! Omae ni ore wa taosanee,"Wed, Aug 17, 2005","Mizuki is determined to make Naruto and Iruka suffer and it appears that he has the upper edge with his improved strength and speed. Shikamaru, Ino and Chouji are also at their limits and now Fuujin and Raijin are free. Can Tsunade arrive in time to help?",6.5,(492)
S1.E148 ∙ The Search for the Rare Bikochu Beetle!,"Sat, Mar 15, 2008","Naruto is unable to search for Sasuke due to Tsunade's orders, while Kiba and Hinata wonder how they can help him out. Shino remembers a special type of bug that if it is found, could easily track Sasuke down. they go and discuss it with Tsunade, who agrees to let them search for it, making Shino the leader. Tsunade discovers Naruto eavesdropping the conversation and lets him go with them. But, can they complete a mission with only a 10% success rate? As they travel, Naruto has difficulty dealing with Shino's bizarre behavior. Hinata also sneaks out in the middle of the night to practice some mysterious moves. After two days of traveling, they finally reach their destination. And they're not alone, a mysterious group is also after the same thing.",6.9,(510)
S1.E149 ∙ What's the Difference? Don't All Insects Look Alike?,"Sat, Mar 15, 2008","The group struggles to find a Bikouchuu, but seem to fail at every turn. When it starts to rain they realize they only have one more chance to find it, will Hinata's Byakugan be enough?",7.0,(516)
S1.E150 ∙ A Battle of the Bugs! The Deceivers and the Deceived!,"Sat, Mar 22, 2008","With Hinata's safety in danger, the group must try and figure out a way to save her and protect the Bikouchuu at the same time. Every time one side seems to have an edge though, the other reveals yet a new trick. As dawn approaches, they don't have long left....can they succeed?",6.8,(487)
S1.E1 ∙ He Appears! Naruto Uzumaki,"Sat, Sep 10, 2005","Welcome to Konoha, where deadly ninja roam the land and the mischievous Naruto Uzumaki causes trouble everywhere he goes. But when he steals the ancient scroll of sealing, he unleashes a rare power rarely seen in a 12-year-old boy.",7.9,(2.3K)
S1.E2 ∙ My Name is Konohamaru!,"Sat, Sep 10, 2005","Naruto finally graduates from the Ninja Academy and claims to know it all. Well, at least that's what he tells Konohamaru, Konoha's Hokage grandson.",7.0,(1.6K)
S1.E3 ∙ Shukuteki!? Sasuke to Sakura,"Sat, Sep 17, 2005","On the way to becoming a ninja, Naruto must team up with his classmates, the pretty Sakura and the pretty serious Sasuke, whose common bond is that they both hate Naruto. So Naruto will try a different approach.",7.2,(1.5K)
S1.E4 ∙ Shiren! Sabaibaru enshû,"Sat, Sep 24, 2005","The recently formed Team 7 (Naruto, Sakura and Sasuke) meet their instructor, Hatake Kakashi, and begin training to see if they pass to the next stage of ninja training. Kakashi tells them to engage in the following exercise: try and take two bells away from him using their ninja knowledge.",7.8,(1.5K)
S1.E5 ∙ Shikkaku? Kakashi no ketsuron,"Sat, Oct 1, 2005","With the threat of failure hanging over their heads, Naruto, Sasuke and Sakura try everything they know to pass the grueling survival test. But it will take some wise advice from Kakashi to teach these selfish ninja a thing or two about teamwork.",8.0,(1.5K)
S1.E6 ∙ Jûyô ninmu! Nami no kuni e chô shuppatsu!,"Sat, Oct 8, 2005","Naruto and his squad start their first ninja missions with boring and menial tasks. Weary and angry, Naruto vents his frustration at the Hokage. Amused by Naruto's excitement, he gives them a new mission, to protect a grumpy old man named Tazuna as he returns to his home!",7.3,(1.3K)
S1.E7 ∙ Kiri no asashin!,"Sat, Oct 15, 2005","Naruto and his squad arrive in the Land of the Waves and learn that an evil businessman named Gato has taken over the land. Zabuza Momochi appears, hired by Gato to kill Tazuna. Excited and ready to attack, Naruto can't wait to take on this powerful ninja assassin. Will he be up to the challenge?!",7.7,(1.3K)
S1.E8 ∙ Itami ni chikau ketsui,"Sat, Oct 22, 2005","Kakashi has the upper hand in his battle with Zabuza. But the tide turns when Kakashi is trapped inside Zabuza's Water Prison! Kakashi urges the squad to flee, but Naruto remembers the pledge he made--to never run away again--and holds his ground!!",7.9,(1.4K)
S1.E9 ∙ Sharingan no Kakashi,"Thu, Nov 28, 2002","Thanks to Naruto's ingenious plan, Kakashi is freed from the water prison. Kakashi is ready to use his Sharingan against Zabuza.",7.9,(1.3K)
S1.E10 ∙ Chakura no mori,"Thu, Dec 5, 2002","Recuperating at Tazuna's house, Kakashi is dissatisfied with the outcome of the battle. He concludes that Zabuza isn't dead and the young tracking ninja helped Zabuza escape! Kakashi decides to implement some interesting training that will allow Naruto, Sasuke and Sakura to better control their chakra!",7.1,(1.2K)
S1.E11 ∙ Eiyû no ita kuni,"Thu, Dec 12, 2002","Sakura goes into town with Tazuna and sees the hardships that the people of the Land of Waves suffer under Gato's rule. This is the reason Tazuna is risking his life to build a bridge that crosses the ocean. With a bridge that gives everyone access to other lands, people will no longer have to rely on Gato, who controls all imports. Meanwhile, Naruto and Sasuke continue to train, using chakra to climb a tree.",7.1,(1.2K)
S1.E12 ∙ Kyôjô kessen! Zabuza futatabi!!,"Thu, Dec 19, 2002","While Naruto concentrates on the training to control his chakra, a mysterious person suddenly appears before him. The person tells Naruto that as long as one has the desire to protect what he loves, there is no limit to becoming stronger. The mysterious figure echoes the sentiment inside Naruto and the two feel a sense of connection.",7.3,(1.2K)
S1.E13 ∙ Haku no hijutsu: Makyô hyôshô,"Thu, Dec 26, 2002","Once again, the time has come to fight Zabuza, and this time he's got company -- the tracking ninja who supposedly killed him. Zabuza and his companion take notice of Sasuke's abilities, and Sasuke in turn realizes the immense power that the masked ninja holds. As if they were meant to fight each other, Sasuke and the masked ninja begin to battle.",7.7,(1.2K)
"S1.E14 ∙ Igaisei No.1, Naruto sansen!","Thu, Jan 9, 2003","Sasuke finds himself in a pinch inside of Haku's Crystal Ice Mirrors, but Naruto comes to the rescue. But Sasuke has a plan to counter Haku's jutsu with attacks from both the inside and outside the Crystal Ice Mirrors, and Naruto's unexpected action ruins Sasuke's strategy. Eventually, both young ninja are trapped.",7.1,(1.2K)
S1.E15 ∙ Shikai zero no tatakai Sharingan kuzushi,"Thu, Jan 16, 2003","Realizing time is of the essence, Kakashi decides to use the Sharingan once again to defeat Zabuza.",7.6,(1.2K)
S1.E16 ∙ Kaihôsareta fûin,"Thu, Jan 23, 2003","Naruto and Sasuke continue to receive punishing attacks from within Haku's Crystal Ice Mirrors. Naruto can no longer stand on his feet. But during the intense battle, Sasuke starts to realize the power of his own Sharingan and gradually starts to elude Haku's assault. Haku decides to finish them off immediately. Sasuke is caught off guard by Haku's action and uses his own body to shield Naruto...",8.3,(1.3K)
S1.E17 ∙ Shiroi kako: Himeta omoi,"Thu, Jan 30, 2003","Naruto finally explodes. His anger against Haku, who defeated Sasuke, unleashes the power of the Kyûbi. Naruto's chakra becomes so intense that even Kakashi and Zabuza, fighting in the distance, take notice. Haku is unable to do anything in the face of Naruto's hidden power.",8.1,(1.3K)
S1.E18 ∙ Shinobi to iu na no dôgu,"Thu, Feb 6, 2003","Haku tells the hesitant Naruto to finish him off. Naruto strongly questions Haku's philosophy of existing only to fight and win. Meanwhile, the battle between Kakashi and Zabuza approaches its climax. Zabuza's movement is restrained by Kakashi's Summoning Jutsu. With victory within his grasp, Kakashi unleashes his most devastating maneuver.",8.0,(1.2K)
S1.E19 ∙ The Demon in the Snow,"Thu, Feb 13, 2003","Zabuza is no longer Kakashi's enemy, and thanks to a little speech by Naruto about how ninja are, Zabuza takes on Gato's men single handily. The Demon of the Hidden Mist takes his vengeance on Gato and all of those dumb enough to follow him, and apologizes to Haku for what he did to the kind little boy. After the group takes care of the rest of Gato's men, Zabuza asks Kakashi one final request, to see Haku one final time. This is Zabuza's requiem.",9.0,(2.1K)
S1.E20 ∙ Shinshô totsunyû! Chûnin shiken dattebayo,"Thu, Feb 20, 2003","With their latest mission complete, it's time once again for the group to go back to mediocre missions. After all are done, Konohamaru and his friends pay a visit to Naruto. All which result in being chased by Sakura. Everyone is soon over though, as two mysterious ninja block their way, and one of them isn't too happy with Konohamaru. Sasuke arrives to save the day, but the leader of the group shows up, with stealth skills that surprise even Sasuke. Meanwhile, the Third Hokage announces that it's time once again for the Chuunin selection exams.",7.0,(1.1K)
S1.E21 ∙ Nanore! Arawareta kyôteki tachi!!,"Thu, Feb 27, 2003","After the three ninjas take their leave, Sasuke realizes he has a powerful rival out there. The next day, Kakashi announces that he has recommended all of them for the Chuunin Exams. While Naruto and Sasuke are pleased, Sakura is afraid of letting everyone down. Also, someone decides they aren't ready and decides to test their abilities.",7.2,(1.1K)
S1.E22 ∙ Kiai 120% nau de Rokku na chôsen-jô!,"Thu, Mar 6, 2003",The eccentric Rock Lee challenges Uchiha Sasuke to a battle before the Chuunin Exam begins.,7.5,(1.1K)
S1.E23 ∙ Kechirase raibaru! Rûkî 9 zenin shûgô,"Thu, Mar 13, 2003",All Konoha Genins are put to an introductory test to determine who will continue on in the actual exam.,7.2,(1K)
S1.E24 ∙ Ikinari shikkaku? Chô nankan no dai ichi shiken,"Thu, Mar 20, 2003",All Genins meet together and begin a written test as part of the first Chuunin Exam.,7.9,(1.1K)
S1.E25 ∙ Deta toko shôbu! Funbari dokoro no 10 monme,"Thu, Mar 27, 2003",The Genins work on gathering information furtively while worries over the tenth question surface.,7.9,(1.1K)
S1.E26 ∙ Zettai hikken! Shi no mori chokuzen rupo! Konoha no gakkyû shinbun da kore!,"Wed, Apr 2, 2003",A Naruto Special which recaps the previous 25 episodes and sets the stage for the second Chunnin exam.,4.5,(963)
S1.E27 ∙ Daini shiken sutâto! Mawari wa min'na teki darake!,"Wed, Apr 2, 2003",The second Chuunin Exam begins as the Genins start their search for two scrolls to enable them to finish the second Exam.,7.4,(1K)
S1.E28 ∙ Kû ka kuwareru ka! Esa ni natta Naruto,"Wed, Apr 9, 2003","The Genin teams continue their search for the two scrolls in the Forest of Death. Meanwhile, Team 7 is sidetracked by a powerful enemy.",8.0,(1.1K)
S1.E29 ∙ Naruto hangeki! Nigenên dattebayo!,"Wed, Apr 16, 2003",Naruto and the rest of Team 7 continue their fight against their ruthless enemy in the Shi no Mori.,8.2,(1.1K)
S1.E30 ∙ Yomigaere Sharingan! Hissatsu: Katon - Ryûka no jutsu!,"Wed, Apr 23, 2003","Sasuke finally recovers his will to fight and receives a dangerous ""present"" from Orochimaru. The emergency surrounding Orochimaru in Konoha spreads to village officials.",8.5,(1.2K)
S1.E31 ∙ Geki mayu puratonikku! Boku wa shinu made anata o mamoru!!,"Wed, Apr 30, 2003",Rock Lee and Sakura must defeat the Sound Genin in order to protect Naruto and Sasuke.,7.6,(1K)
S1.E32 ∙ Sakura saku! Ketsui no ushirosugata,"Wed, May 7, 2003",The Sound Ninja attack incapacitated Team 7 and Sakura is left to fight them all.,8.0,(1.1K)
S1.E33 ∙ Muteki no fômêshon! InoShikaChô!!,"Wed, May 14, 2003",Team 10 gains the courage to help Sakura defeat the Sound Genin.,8.2,(1.1K)
"S1.E34 ∙ Akamaru bikkuri! Gaara, kyôi no jitsuryoku","Wed, May 21, 2003",The other Genin teams continue their search for the scrolls and Gaara's power is revealed to Team 8.,7.7,(999)
S1.E35 ∙ Nozoki mi genkin! Maki mono no himitsu,"Wed, May 28, 2003",Naruto muses peeking into his team's scroll and Kabuto joins Team 7 in order to reach the tower in the center of the Forest of Death.,7.0,(969)
S1.E36 ∙ Bunshin taiketsu! Ore ga shuyaku dattebayo!,"Wed, Jun 4, 2003",Team 7 and Kabuto engage the Rain ninja after breaking through the Rain ninjas' illusionary technique.,7.4,(971)
S1.E37 ∙ Dai ni shiken toppa! Seizoroi rûkî nainu!,"Wed, Jun 11, 2003","Team 7 recovers their final scroll and completes the second Chûnin exam. However, a preliminary exam to the third Chûnin exam must be held to weed out the best Genins.",6.9,(967)
S1.E38 ∙ Gôkaku-sha nibun no ichi!? Ikinari shiai dattebayo!!,"Wed, Jun 18, 2003",Kabuto is secretly revealed to be a traitor to Konoha and Sasuke starts his match against Yoroi Akado.,7.3,(960)
"S1.E39 ∙ Geji mayu jerashî! ""Shishi rendan"" tanjô!","Wed, Jul 2, 2003",Sasuke continues his fight against Yoroi Akado despite the pain from his Cursed Seal. Kakashi decides to help Sasuke after the battle by sealing the Cursed Seal.,7.9,(1K)
S1.E40 ∙ Isshoku sokuhatsu!! Kakashi VS Orochimaru,"Wed, Jul 9, 2003","Kakashi performs the sealing ritual on Sasuke, while the fight between Zaku Abumi and Shino Aburame commences.",7.5,(977)
S1.E41 ∙ Raibaru gekitotsu! Otome kokoro wa honki môdo,"Wed, Jul 16, 2003",Misumi Tsurugi fights Kankuro and Sakura and Ino Yamanaka finally are forced to battle each other.,6.7,(1K)
S1.E42 ∙ Besuto batoru wa Shânnarô!!,"Wed, Jul 23, 2003",The battle between Sakura and Ino intensifies as friendships and hardships between the two are revealed.,6.9,(1K)
S1.E43 ∙ Shikamaru tajitaji!? Kunoichi-tachi no atsuki tatakai,"Wed, Jul 30, 2003",The third preliminary exam continues with Temari fighting Tenten and Shikamaru Nara battling Kin Tsuchi.,7.5,(965)
S1.E44 ∙ Akamaru sansen!! Makeinu wa dotchi da?,"Wed, Aug 6, 2003",Naruto finally gets his chance to fight against Team 8's Kiba Inuzuka.,7.7,(997)
"S1.E45 ∙ Hinata sekimen! Kankyaku anguri, Naruto no okunote","Wed, Aug 13, 2003","Naruto's fight against Kiba draws to a climax and Naruto's newest ""techinque"" is introduced.",7.9,(1K)
S1.E46 ∙ Byakugan kaigan!! Uchiki na Hinata no daitan ketsui!,"Wed, Aug 20, 2003",Neji Hyuga and Hinata Hyuga fight to defend the honor of themselves and of their families.,7.7,(1K)
S1.E47 ∙ Akogare no hito no me no maede!!,"Wed, Aug 27, 2003",Hinata decides to prove her worth against Neji as the battle between the two draws to a close.,8.1,(1.1K)
S1.E48 ∙ Gaara funsai!! Wakasa da! Pawâ da! Bakuhatsu da!,"Wed, Sep 3, 2003",The youthful Rock Lee clashes against the powerful and deadly Gaara of the Sand.,9.2,(2.5K)
"S1.E49 ∙ Nekketsu ochikobore! Tsuini sakuretsu, kindan no ôgi!","Wed, Sep 10, 2003","Rock Lee keeps fighting against the ferocious Gaara. Lee is weakened due to the use of his technique, Omote Renge, but his will is strong. In order to defeat Gaara, Lee would open the first gates, to be able to use a forbidden technique.",8.9,(1.6K)
S1.E50 ∙ Aa Rokku Rî! Kore ga otoko no ikizama yo!!,"Wed, Sep 17, 2003","Lee finally reveals his trump card, the power of the Eight Gates, while Gaara prepares for a bloody showdown.",9.2,(2K)
S1.E51 ∙ Yami ni ugomeku kage Sasuke ni semaru kiki!,"Wed, Sep 24, 2003",Choji Akimichi versus Dosu Kinuta in the final match of the third preliminary exam. Naruto learns he is getting a new trainer to prepare for the third Chuunin Exam.,7.2,(943)
S1.E52 ∙ Ebisu futatabi! Harenchi wa watashi ga yurushimasen zo!,"Wed, Oct 1, 2003","Naruto, in preparation for the third Chuunin Exam, begins his training with Ebisu, with some unexpected consequences.",6.9,(942)
S1.E53 ∙ Aiya shibaraku! Ero-Sen'nin tôjô!,"Wed, Oct 8, 2003","While Ebisu trains Naruto on how to walk on water in a hot spring, he spies somebody trying to peep on women in a hot spring. Ebisu attacks him, only to be defeated quickly. Since Naruto's teacher has been knocked out, Naruto demands that the stranger become his teacher instead, but he has other plans. Naruto's Sexy Jutsu may be just the thing to get this pervert's attention.",7.4,(969)
S1.E54 ∙ Ero-Sen'nin jikiden kuchiyose no jutsu dattebayo!!,"Wed, Oct 15, 2003","While Jiraiya attempts to teach Naruto the Summoning Jutsu, while doing research as well, Dosu learns the hard way why Gaara is so dangerous. Meanwhile, Baki and Kabuto secretly meet and reveal a sinister plot against Konoha. When Hayate discovers this dark secret, he attempts to warn the Hokage. However, he'll have to get through Baki first!",7.4,(919)
S1.E55 ∙ Setsunai omoi negai o kometa ichirin,"Wed, Oct 22, 2003","Naruto keeps training on his 'kuchiyose no jutsu' skills, with little improvement, while Jiraiya-sensei prefers to focus his attention on 'researching for his next book', sneaking, looking the young women. In a meeting with the Hokage, it is told about the murder of Hayate Gekkô, the possible implication of Orochimaru and the Otogakure, but the Third Hokage decide to keep running the Chûnin Exams. Sakura is worry about Sasuke-kun and the 'Ten no Juin' Orochimaru left him. She tries again to visit him at the hospital, but first she stops at the Yamanaka flower shop. There she meet Ino who, of course decide to join Sakura in her visit to Sasuke. Sakura picks two flowers, one for Sasuke-kun and one for Lee. At the hospital, the girls discovers that Sasuke is gone. No one knew that he left. In Lee's room, there's no one neither.",7.1,(907)
S1.E56 ∙ Sei ka shi ka!? Menkyo kaiden wa inochi gake!,"Wed, Oct 29, 2003",Naruto finally learns how to summon the frog and release the power of the nine tails.,7.7,(962)
S1.E57 ∙ Tonda! Haneta! Mogutta! Gama oyabun tôjô!!,"Wed, Nov 5, 2003",Naruto aims to prove to the frog boss that hed has summoned him. The sand villages' true motives become clearer.,7.6,(930)
S1.E58 ∙ Shinobi yoru ma no te! Nerawareta byôshitsu,"Wed, Nov 12, 2003","Naruto wakes up in the hospital, after three days of recovering. He meets Shikamaru there, who went visit Chôji. Meanwhile, Sakura goes to visit Lee, and notices there's no one in the hospital reception. She feels something strange after changing Lee's flowers, but she sees nothing, so she leaves to visit Naruto. But the awkward presence is still there, and is a real danger: Gaara.",7.6,(927)
S1.E59 ∙ Môretsu môtsui môdasshu honsen kaishi dattebayo,"Wed, Nov 19, 2003","The Second Part of the Chûnin Exams is about to begin. As every Genin who passed the first test is getting ready, Naruto feels really nervous. He meets Hinata who, timidly, wishes him the best. Naruto feels better, but as he get closer to the Arena, he finds some trouble to get on time.",6.9,(909)
